FED Id,Winning Pid
10001,LIB
10002,LIB
10003,LIB
10004,LIB
10005,LIB
10006,NDP
10007,LIB
11001,LIB
11002,LIB
11003,LIB
11004,LIB
12001,LIB
12002,LIB
12003,LIB
12004,LIB
12005,LIB
12006,LIB
12007,LIB
12008,LIB
12009,LIB
12010,LIB
12011,LIB
13001,LIB
13002,LIB
13003,LIB
13004,CPC
13005,LIB
13006,LIB
13007,LIB
13008,CPC
13009,LIB
13010,CPC
24001,BQ
24002,BQ
24003,LIB
24004,LIB
24005,LIB
24006,BQ
24007,CPC
24008,LIB
24009,BQ
24010,CPC
24011,BQ
24012,BQ
24013,LIB
24014,BQ
24015,LIB
24016,LIB
24017,LIB
24018,BQ
24019,CPC
24020,BQ
24021,LIB
24022,BQ
24023,LIB
24024,LIB
24025,BQ
24026,LIB
24027,LIB
24028,LIB
24029,LIB
24030,LIB
24031,BQ
24032,BQ
24033,BQ
24034,LIB
24035,BQ
24036,LIB
24037,LIB
24038,BQ
24039,LIB
24040,LIB
24041,LIB
24042,CPC
24043,LIB
24044,LIB
24045,CPC
24046,BQ
24047,CPC
24048,BQ
24049,BQ
24050,BQ
24051,CPC
24052,LIB
24053,LIB
24054,LIB
24055,LIB
24056,LIB
24057,LIB
24058,CPC
24059,LIB
24060,BQ
24061,CPC
24062,LIB
24063,BQ
24064,NDP
24065,LIB
24066,BQ
24067,BQ
24068,LIB
24069,LIB
24070,LIB
24071,BQ
24072,LIB
24073,LIB
24074,LIB
24075,BQ
24076,LIB
24077,LIB
24078,LIB
35001,LIB
35002,NDP
35003,LIB
35004,CPC
35005,CPC
35006,LIB
35007,LIB
35008,LIB
35009,LIB
35010,LIB
35011,LIB
35012,LIB
35013,CPC
35014,CPC
35015,LIB
35016,LIB
35017,CPC
35018,LIB
35019,LIB
35020,LIB
35021,LIB
35022,CPC
35023,CPC
35024,LIB
35025,CPC
35026,CPC
35027,LIB
35028,LIB
35029,LIB
35030,LIB
35031,LIB
35032,LIB
35033,CPC
35034,CPC
35035,NDP
35036,LIB
35037,NDP
35038,LIB
35039,LIB
35040,CPC
35041,LIB
35042,LIB
35043,LIB
35044,LIB
35045,LIB
35046,LIB
35047,LIB
35048,CPC
35049,CPC
35050,CPC
35051,NDP
35052,LIB
35053,LIB
35054,LIB
35055,LIB
35056,CPC
35057,LIB
35058,LIB
35059,LIB
35060,LIB
35061,LIB
35062,LIB
35063,LIB
35064,LIB
35065,LIB
35066,LIB
35067,LIB
35068,CPC
35069,LIB
35070,LIB
35071,LIB
35072,LIB
35073,LIB
35074,CPC
35075,LIB
35076,LIB
35077,LIB
35078,LIB
35079,LIB
35080,CPC
35081,LIB
35082,CPC
35083,CPC
35084,LIB
35085,LIB
35086,CPC
35087,LIB
35088,CPC
35089,LIB
35090,LIB
35091,CPC
35092,LIB
35093,LIB
35094,LIB
35095,LIB
35096,LIB
35097,LIB
35098,LIB
35099,CPC
35100,CPC
35101,LIB
35102,CPC
35103,LIB
35104,CPC
35105,LIB
35106,LIB
35107,NDP
35108,LIB
35109,LIB
35110,LIB
35111,LIB
35112,LIB
35113,CPC
35114,LIB
35115,LIB
35116,LIB
35117,NDP
35118,LIB
35119,CPC
35120,LIB
35121,LIB
46001,CPC
46002,LIB
46003,NDP
46004,CPC
46005,NDP
46006,CPC
46007,CPC
46008,CPC
46009,LIB
46010,CPC
46011,LIB
46012,LIB
46013,LIB
46014,LIB
47001,CPC
47002,CPC
47003,CPC
47004,CPC
47005,CPC
47006,CPC
47007,CPC
47008,CPC
47009,CPC
47010,CPC
47011,CPC
47012,NDP
47013,CPC
47014,CPC
48001,CPC
48002,CPC
48003,CPC
48004,CPC
48005,CPC
48006,CPC
48007,CPC
48008,CPC
48009,CPC
48010,CPC
48011,CPC
48012,CPC
48013,CPC
48014,LIB
48015,CPC
48016,CPC
48017,CPC
48018,CPC
48019,NDP
48020,CPC
48021,CPC
48022,CPC
48023,CPC
48024,CPC
48025,CPC
48026,CPC
48027,CPC
48028,CPC
48029,CPC
48030,CPC
48031,CPC
48032,CPC
48033,CPC
48034,CPC
59001,CPC
59002,LIB
59003,NDP
59004,CPC
59005,CPC
59006,CPC
59007,LIB
59008,LIB
59009,NDP
59010,NDP
59011,LIB
59012,LIB
59013,CPC
59014,LIB
59015,NDP
59016,CPC
59017,CPC
59018,GRN
59019,NDP
59020,CPC
59021,LIB
59022,LIB
59023,LIB
59024,CPC
59025,CPC
59026,NDP
59027,GRN
59028,NDP
59029,NDP
59030,LIB
59031,LIB
59032,LIB
59033,LIB
59034,LIB
59035,NDP
59036,LIB
59037,NDP
59038,NDP
59039,LIB
59040,LIB
59041,NDP
59042,LIB
60001,LIB
61001,LIB
62001,NDP
